j_helmet,helmet
j_head,head
j_neck,neck
j_clavicle_le,torso_upper
j_clavicle_ri,torso_upper
j_spineupper,torso_upper
j_mainroot,torso_lower
j_shoulder_ri,right_arm_upper
j_shoulder_le,left_arm_upper
j_elbow_ri,right_arm_lower
j_elbow_le,left_arm_lower
j_wrist_ri,right_hand
j_wrist_le,left_hand
j_hip_ri,right_leg_upper
j_hip_le,left_leg_upper
j_knee_ri,right_leg_lower
j_knee_le,left_leg_lower
j_ankle_ri,right_foot
j_ankle_le,left_foot
tag_weapon_left,gun
tag_weapon_right,gun
tag_stowed_back,shield
tag_weapon_left,shield
