Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
vox_plr_0_powerup_firesale_rich_0,raw\english\sound\vox\scripted\zmb\vox_plr_0_powerup_firesale_d_0.SN50.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,85,85,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_plr_0_powerup_firesale_rich_1,raw\english\sound\vox\scripted\zmb\vox_plr_0_powerup_firesale_d_1.SN50.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,85,85,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_plr_0_powerup_firesale_rich_2,raw\english\sound\vox\scripted\zmb\vox_plr_0_powerup_firesale_d_2.SN50.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,85,85,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_plr_1_powerup_firesale_rich_0,raw\english\sound\vox\scripted\zmb\vox_plr_1_powerup_firesale_d_0.SN50.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,85,85,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_plr_1_powerup_firesale_rich_1,raw\english\sound\vox\scripted\zmb\vox_plr_1_powerup_firesale_d_1.SN50.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,85,85,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_plr_1_powerup_firesale_rich_2,raw\english\sound\vox\scripted\zmb\vox_plr_1_powerup_firesale_d_2.SN50.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,85,85,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_plr_2_powerup_firesale_rich_0,raw\english\sound\vox\scripted\zmb\vox_plr_2_powerup_firesale_d_0.SN50.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,85,85,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_plr_2_powerup_firesale_rich_1,raw\english\sound\vox\scripted\zmb\vox_plr_2_powerup_firesale_d_1.SN50.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,85,85,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_plr_2_powerup_firesale_rich_2,raw\english\sound\vox\scripted\zmb\vox_plr_2_powerup_firesale_d_2.SN50.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,85,85,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
vox_plr_3_powerup_firesale_rich_0,raw\english\sound\vox\scripted\zmb\vox_plr_3_powerup_firesale_d_0.SN50.pc.snd.flac,,streamed,bus_voice,grp_voice,snp_voice,,83,0,85,85,125,1250,2250,allon,default,rev65,default,1,8,reject,oldest,0,0,80,90,0,1,3d,default,nonlooping,,1,0,37,50,97,0.35,no,no,none,0,,no,mature,,yes,no,no,0,0,yes,yes,,0,,no,no,no
